surgery-anastomosis-profile_id,primary_name,aliases,category,data_type,unit,allowed_values,flags,risk_direction,evidence_sources
B1_01,surgery_urgency,择期或急诊; elective_vs_emergency; urgency,surgical_approach,categorical,,elective;emergency,emergency_surgery,emergency_surgery_significantly_higher_AL_risk,PMID:28946873; ACS NSQIP 2019
B1_02,planned_surgical_approach,手术入路; surgical_approach; open_vs_laparoscopic_vs_robotic,surgical_approach,categorical,,open;laparoscopic;robotic;transanal;hybrid,open_approach,descriptive_covariate_no_fixed_robotic_direction,PMID:29067426; PMID:37386211
B1_03,conversion_status,中转开腹; conversion; conversion_to_open,surgical_approach,categorical,,none;to_open;to_other_mis,conversion_to_open,conversion_marker_of_difficult_surgery_higher_AL,PMID:29067426; PMID:36449942
B1_04,procedure_name,手术名称; operation_type,surgical_approach,categorical,,right_hemicolectomy;transverse_colectomy;left_hemicolectomy;sigmoidectomy;anterior_resection;low_anterior_resection;abdominoperineal_resection;total_colectomy;proctocolectomy,"low_anterior_resection,ultra_low_anterior_resection",lower_anastomosis_greater_AL_risk,PMID:28946873; TENTACLE-Rectum; ISREC
B1_05,resection_extent,单脏器或联合脏器切除; extended_resection; multivisceral,surgical_approach,categorical,,single_organ;multivisceral,multivisceral_resection,multivisceral_resection_increases_complexity_and_AL_risk,PMID:32706459
B1_06,surgery_duration,手术持续时间; operative_time; OT,surgical_approach,continuous,minutes,30-600,"surgery_duration_over_3h,surgery_duration_over_4h,surgery_duration_over_5h",longer_surgery_increases_AL_independently,PMID:28946873; ACS NSQIP; Springer 2020
B1_07,intraoperative_blood_loss,术中出血量; estimated_blood_loss; EBL,surgical_approach,continuous,ml,10-5000,"blood_loss_over_300ml,blood_loss_over_500ml,blood_loss_over_1000ml",higher_blood_loss_correlates_with_higher_AL,PMID:28946873; PMID:33756515
B1_08,blood_transfusion,输血量; transfusion; RBC_transfusion; intraoperative_transfusion,surgical_approach,categorical,units,none;1_2_units;3_5_units;>5_units,blood_transfusion_intraop,transfusion_immunosuppressive_effect_increases_AL,PMID:28946873; ACS NSQIP 2019; TENTACLE-Rectum
B2_01,anastomotic_site,吻合部位; anastomosis_location,anastomotic_characteristics,categorical,,ileocolic;colocolic;colorectal;colorectal_ultra_low;colorectal_hand_sewn;colorectal_stapled;coloanal,"colorectal_anastomosis,ultra_low_anastomosis,coloanal_anastomosis",ultra_low_anastomosis_highest_AL_risk,PMID:28946873; TENTACLE-Rectum; ISREC definition
B2_02,anastomotic_height_from_anal_verge,吻合口距肛缘高度; anastomotic_height; Level_of_anastomosis,anastomotic_characteristics,continuous,cm,1-30,"anastomosis_under_6cm,anastomosis_6_10cm",height<6cm_strong_AL_predictor,PMID:28946873; ISREC; TENTACLE
B2_03,anastomotic_configuration,端端/端侧/侧侧吻合; anastomosis_config; end_to_end; side_to_end; side_to_side,anastomotic_characteristics,categorical,,end_to_end;end_to_side;side_to_side;side_to_end,end_to_end_anastomosis,ETE_more_ischemia_prone_than_sts_especially_in_LLR,PMID:28946873; PMID:33756515
B2_04,suture_technique,手工或器械吻合; hand_sewn_vs_stapled; suture_type,anastomotic_characteristics,categorical,,hand_sewn;stapled;hybrid,"hand_sewn_low_rectal,stapled_low_rectal",hand_sewn_low_rectal_higher_AL_risk_versus_double_stapling,PMID:28946873; ISREC; COLOR II
B2_05,stapler_brand_type_diameter,吻合器品牌、类型和直径; stapler_info,anastomotic_characteristics,categorical,mm,circular_28;circular_29;circular_31;circular_33;linear;other,circular_stapler_under_31mm,smaller_stapler_diameter_may_correlate_with_higher_AL,PMID:32706459; iCral study
B2_06,rectal_transection_stapler_firing_count,直肠离断线性吻合器击发总次数; stapler_firings; stapler_firings_count; cartridge_count,anastomotic_characteristics,integer,firings,0-10,"stapler_firings_ge_2,stapler_firings_ge_3",adjustment_covariate_pending_threshold_signoff,PMID:32451807
B2_07,doughnut_integrity,吻合圈完整性; donut_integrity; tissue_donut,anastomotic_characteristics,categorical,,complete_both;incomplete_proximal;incomplete_distal;incomplete_both;fragmented,doughnut_incomplete,incomplete_donut_directly_indicates_anastomotic_defect,PMID:28946873; ISREC; CRIS guidelines
B2_08,bowel_edema_and_thickness,肠管水肿和组织厚度; bowel_edema; tissue_quality,anastomotic_characteristics,categorical,,normal;mild_edema;moderate_edema;severe_edema;thickened_mesentery,severe_bowel_edema,edematous_bowel_compromises_suture_holding,PMID:33756515; surgical_judgment
B2_09,anastomotic_tension,吻合口张力; tension; anastomosis_tension,anastomotic_characteristics,categorical,,no;mild;moderate;severe,anastomotic_tension_moderate_or_severe,tension_ischemia_direct_cause_of_AL,PMID:28946873; all colorectal textbooks; ISREC
B3_01,gross_blood_supply_assessment,肉眼血供评估; macroscopic_vascularity; bowel_viability,perfusion_assessment,categorical,,good;questionable;poor,poor_blood_supply,poor_bowel_vascularity_direct_AL_cause,PMID:28946873; surgical_standard
B3_02,icg_used,是否使用ICG; indocyanine_green; ICG_angiography,perfusion_assessment,categorical,,not_used;used,icg_used,ICG_use_reduces_AL_risk_when_changing_plane,PMID:32706459; PILLAR III trial; ICG studies 202 magnetization
B3_03,icg_perfusion_result,ICG灌注结果; ICG_perfusion; fluorescence_assessment,perfusion_assessment,categorical,,adequate;borderline;inadequate,"icg_perfusion_inadequate,icg_perfusion_borderline",inadequate_ICG_perfusion_independently_predicts_AL,PMID:32706459; PILLAR III; iCral pres study
B3_04,icg_action_after_inadequate_perfusion,ICG灌注不良后处置; ICG_corrective_action; changed_plane_or_reconstruction,perfusion_assessment,categorical,,not_applicable;transection_line_changed;anastomosis_reconstructed;no_corrective_action;unknown,"icg_changed_resection_plane,icg_anastomosis_reconstructed,icg_no_corrective_action",inadequate_perfusion_without_corrective_action_increases_risk,PMID:32706459; iCral
B3_05,marginal_artery_integrity,边缘动脉完整性; marginal_artery; arcade; Drummond_arcade,perfusion_assessment,categorical,,intact;compromised;absent,marginal_artery_compromised,compromised_marginal_artery_critical_left_side_AL,PMID:28946873; ischemic_colitis literature
B3_06,air_leak_test,充气试验; bubble_test; AIR_test; air_leak,perfusion_assessment,categorical,,not_performed;negative_no_leak;positive_leak;positive_after_repair_negative,"air_leak_test_positive,air_leak_needed_repair,air_leak_test_repaired,air_leak_test_persistent",persistent_or_unresolved_defect_is_high_priority;repaired_negative_retest_is_review_only,PMID:28946873; ISREC; CRIS guidelines
B3_07,intraoperative_endoscopy,术中内镜; intraop_endoscopy; anastomotic_inspection,perfusion_assessment,categorical,,not_performed;negative;positive_defect;positive_bleeding,intraop_endoscopy_positive,endoscopy_positive_defect_high_AL_risk,PMID:33756515; TENTACLE-Rectum
B3_08,anastomotic_defect_found,是否发现吻合口缺损; visible_defect; anastomotic_defect,perfusion_assessment,categorical,,no;yes_repaired;yes_not_repairable_diversion,anastomotic_defect,defect_requires_immediate_repair_or_diversion,ISREC; CRIS; surgical_standard
B3_09,defect_repair_method,缺损修补方式; defect_repair,perfusion_assessment,categorical,,not_applicable;suture_repair;staple_over;resection_new_anastomosis;diversion;abandon_anastomosis,defect_required_resection_or_diversion,major_defect_repair_high_AL_progression_risk,ISREC; TENTACLE-Rectum
B4_01,hypotension_duration,低血压持续时间; hypotensive_episode; SBP_below_90,intraoperative_physiology,continuous,minutes,0-120,"hypotension_over_10min,hypotension_over_30min",prolonged_hypotension_ischemia_at_anastomosis,PMID:28946873; anesthesia_study
B4_02,lowest_map,最低平均动脉压; MAP_min; mean_arterial_pressure,intraoperative_physiology,continuous,mmHg,30-120,"map_below_65,map_below_55",MAP_below_65_splanchnic_hypoperfusion,PMID:28946873; anesthesia_ERAS guidelines
B4_03,vasopressor_used,术中是否使用血管活性药; vasopressor_dose; vasopressor; norepinephrine; vasoactive,intraoperative_physiology,categorical,,no;yes,,adjustment_covariate_may_mark_low_perfusion_or_case_severity,PMID:37126191; PMID:32511133
B4_04,lowest_core_temperature,术中最低核心体温; intraoperative_temperature; body_temperature; hypothermia,intraoperative_physiology,continuous,°C,30.0-42.0,,process_and_adjustment_covariate_pending_threshold_signoff,ASCRS/SAGES enhanced recovery CPG 2022
B4_05,fluid_balance,液体平衡; fluid_balance; net_fluid; crystalloid,intraoperative_physiology,continuous,ml,-2000-8000,fluid_overload_over_3000ml,excessive_fluids_bowel_edema_and_impaired_healing,PMID:28946873; RELIEF trial; ERAS guidelines
B4_06,lactate,乳酸; lactic_acid; serum_lactate,intraoperative_physiology,continuous,mmol/L,0.5-15,"lactate_elevated_over_2,lactate_high_over_4",lactate_splanchnic_ischemia_marker,PMID:28946873; ICU_literature
B4_07,peritoneal_contamination,腹腔污染; intraabdominal_contamination,intraoperative_physiology,categorical,,none;minimal;moderate;severe_fecal,"peritoneal_contamination_moderate,peritoneal_contamination_severe",contamination_infection_and_AL_risk,PMID:28946873; ACS NSQIP
B4_08,bowel_content_spillage,肠内容物溢出; spillage; enteric_content,intraoperative_physiology,categorical,,none;minimal;moderate;gross,bowel_content_spillage,spillage_infection_and_AL_risk,PMID:28946873; surgical_standard
B4_09,peritonitis,腹膜炎; peritonitis; purulent_fluid; fecal_peritonitis,intraoperative_physiology,categorical,,no;localized;diffuse;fecal,peritonitis_present,peritonitis_contraindication_to_anastomosis,PMID:28946873; ACS NSQIP; surgical_guidelines
B4_10,glucose_near_anastomosis,吻合建立前后最近一次血糖; intraoperative_glucose_before_anastomosis,intraoperative_physiology,continuous,mmol/L,1-40,,continuous_adjustment_covariate_threshold_not_locked,PMID:33712988; PMID:32511133
B4_11,norepinephrine_equivalent_max,去甲肾上腺素等效最大剂量; norepinephrine_equivalent_dose,intraoperative_physiology,continuous,ug/kg/min,0-10,,research_covariate_no_fixed_causal_direction,PMID:37126191
B5_01,diverting_stoma_type,转流造口类型; protective_ileostomy; diverting_ileostomy; loop_ileostomy; loop_colostomy,mitigation,categorical,,none;loop_ileostomy;loop_colostomy;other,diverting_stoma_present,ileostomy_mitigates_AL_consequences_not_incidence,PMID:17667498; ASCRS rectal cancer CPG 2020
B5_02,end_ostomy_type,末端造口类型; colostomy; end_colostomy; hartmann,mitigation,categorical,,none;end_ileostomy;end_colostomy;other,end_ostomy_constructed,only_cases_without_primary_anastomosis_are_outside_the_AL_risk_set,ISREC definition
B5_03,pelvic_drain,盆腔引流; drain; closed_suction_drain,mitigation,categorical,,no;yes;yes_suction;yes_passive,pelvic_drain_placed,drains_do_not_prevent_AL_but_help_AL_detection,PMID:28946873; ISREC; meta_analysis
B5_04,transanal_decompression_tube,经肛减压管; transanal_tube; TDT; decompression,mitigation,categorical,,no;yes,transanal_tube_placed,TDT_reduces_AL_risk_in_low_anterior_resection,PMID:32706459; GRECCAR 5; multicenter_RCTs
B5_05,anastomotic_reinforcement,吻合口加固; reinforcement; oversewing; sealant; buttressing,mitigation,categorical,,none;suture_oversew;bioabsorbable_sealant;omentoplasty;other,anastomotic_reinforcement_performed,reinforcement_controversial_efficacy,ISREC; meta_analysis of sealants
B5_06,changed_anastomotic_technique,改变吻合方式; modified_technique,mitigation,categorical,,no;hand_sewn_to_stapled;stapled_to_hand_sewn;other,anastomotic_technique_changed,technique_change_indicates_intraop_concern,surgical_judgment
B5_07,changed_resection_margin,改变切缘; modified_resection_margin; re_resection,mitigation,categorical,,no;proximal_margin_changed;distal_margin_changed;both_changed,resection_margin_changed,change_indicates_intraop_perfusion_concern,ISREC; ICG_studies
B5_08,abandoned_anastomosis_ostomy,放弃吻合并行造口; abandoned_anastomosis; end_ostomy; hartmann_procedure,mitigation,categorical,,no;yes_abandoned_with_ostomy,anastomosis_abandoned,abandoning_anastomosis_eliminates_AL_risk,ISREC; surgical_judgment
B5_09,primary_anastomosis_performed,是否完成原发吻合; primary_anastomosis,mitigation,categorical,,no;yes,,defines_membership_in_anastomotic_leak_risk_set,ISREC definition
B6_01,lead_surgeon_independent_colorectal_years,主刀医生独立开展结直肠手术年数; surgeon_experience; attending_experience,surgeon_center,continuous,years,0-60,,adjustment_covariate_no_fixed_direction,PMID:28009740; PMID:37705203
B6_02,annual_colorectal_volume,年度结直肠手术量; surgeon_volume; provider_volume,surgeon_center,continuous,cases/year,1-200,"surgeon_low_volume_under_20,surgeon_medium_volume_20_50",low_volume_surgeons_higher_AL_rates,PMID:28946873; volume_outcome_AL_2021
B6_03,lead_surgeon_rectal_resections_12m,主刀过去12个月直肠切除例数; annual_rectal_volume; rectal_volume; TME_experience,surgeon_center,continuous,cases/12months,0-300,,adjustment_covariate_no_fixed_direction,PMID:28009740; PMID:37705203
B6_04,specialist_colorectal_surgeon,专科结直肠外科医生; subspecialty; CRS_specialist,surgeon_center,categorical,,no;yes,colorectal_specialist,specialist_training_reduces_AL,PMID:28946873
B6_05,first_assistant_experience,第一助手年资; assistant_level; fellow,surgeon_center,categorical,,trainee;resident;fellow;consultant,junior_first_assistant,junior_assistant_longer_surgery_more_errors,PMID:33756515
B6_06,night_or_weekend_surgery,夜间或节假日手术; off_hours; after_hours,surgeon_center,categorical,,regular_hours;evening;night;weekend,off_hours_surgery,off_hours_surgery_higher_complication_rate,PMID:33756515; large_cohort_studies
B6_07,hospital_annual_volume,医院年度手术量; hospital_volume; institutional_volume,surgeon_center,continuous,cases/year,1-500,hospital_low_volume_under_50,low_volume_hospitals_higher_AL_mortality,PMID:28946873; volume_outcome_literature
B6_08,lead_surgeon_cumulative_robotic_rectal_cases,主刀累计机器人直肠手术例数; robotic_learning_curve_phase; robotic_learning; RALS_experience,surgeon_center,continuous,cases,0-1000,,research_covariate_no_fixed_direction,PMID:29067426
B7_01,mechanical_bowel_prep_status,机械性肠道准备完成状态; MBP_status,perioperative_process,categorical,,none;completed;incomplete;contraindicated;not_applicable,,process_variable_no_standalone_causal_direction,ASCRS surgical site infection CPG 2024
B7_02,oral_antibiotic_bowel_prep_status,口服抗菌药肠道准备完成状态; OAB_status,perioperative_process,categorical,,none;completed;incomplete;contraindicated;not_applicable,,process_variable_interpreted_with_mechanical_bowel_prep,PMID:36622449; ASCRS surgical site infection CPG 2024
B7_03,iv_antibiotic_prophylaxis_given,是否给予静脉预防性抗菌药; antibiotic_prophylaxis_given,perioperative_process,categorical,,no;yes,,process_quality_variable_no_automatic_AL_alert,ASCRS surgical site infection CPG 2024
B7_04,iv_antibiotic_minutes_before_incision,静脉预防性抗菌药距切皮分钟数; antibiotic_timing,perioperative_process,integer,minutes,-240-240,,process_quality_variable_no_automatic_AL_alert,ASCRS surgical site infection CPG 2024
B7_05,iv_antibiotic_redosing_status,静脉预防性抗菌药术中追加状态; antibiotic_redosing,perioperative_process,categorical,,not_indicated;appropriate;missed_or_late,,process_quality_variable_no_automatic_AL_alert,ASCRS surgical site infection CPG 2024
B7_06,intraoperative_technical_adverse_event,术中技术不良事件; technical_event; stapler_misfire,technical_event,categorical,,none;stapler_misfire;tissue_tear;ischemia;unplanned_resection;other,,mechanistic_safety_and_explanatory_variable,ISREC definition; device safety surveillance
B7_07,technical_adverse_event_corrected,术中技术不良事件是否已纠正; event_corrected,technical_event,categorical,,yes;no;not_applicable,,documents_rescue_action_no_fixed_direction,ISREC definition; surgical safety documentation
