patient-host-profile_id,primary_name,aliases,category,data_type,unit,allowed_values,flags,risk_direction,evidence_sources
A1_01,age,年龄; age_years,demographics,continuous,years,≥18,"age_over_65,age_over_75",higher_age_increases_risk,PMID:31274153; Int J Surg 2021; Ochs 2025 JAMA Netw Open
A1_02,gender,性别; sex,demographics,categorical,,male;female,male_gender,male_higher_risk_in_rectal_surgery,PMID:33756515; Surg Endosc 2021
A1_03,bmi,BMI; 体重指数; body_mass_index,demographics,continuous,kg/m²,≥12; ≤50,"bmi_over_25,bmi_over_30,bmi_under_18_5",obesity_increases_AL_risk;underweight_also_risk_factor,PMID:28946873; COLOR II trial; ACS NSQIP 2019
A1_04,recent_weight_loss,近期体重下降; unintentional_weight_loss,demographics,continuous,kg,0-30,"weight_loss_over_5pct,weight_loss_over_10pct",weight_loss_indicates_malnutrition,PMID:31542116; NRS-2002 validation studies
A1_05,frailty_status,衰弱状态; frailty,demographics,categorical,,robust;prefrail;frail,frail_status,frailty_increases_complication_risk,PMID:35605182; Modified Frailty Index; Spence 2021 Ann Surg Oncol
A1_06,asa_grade,ASA分级; ASA_physical_status,demographics,categorical,,I;II;III;IV;V,asa_ge_III,ASA≥III_significant_AL_risk,PMID:28244090; ACS NSQIP risk calculator
A1_07,ecog_performance_status,ECOG体能状态; ECOG; performance_status,demographics,categorical,,0;1;2;3;4,ecog_ge_2,poor_performance_status_increases_risk,PMID:30570476; NCCN guidelines
A1_08,ct_visceral_fat_area,CT内脏脂肪面积; visceral_fat_area; VFA,body_composition,continuous,cm2,0-1000,,research_covariate_no_fixed_threshold,PMID:37671054
A2_01,diabetes_mellitus,糖尿病; DM; diabetes,comorbidity,categorical,,no;type2;type1;hba1c_under_7;hba1c_7_to_9;hba1c_over_9,"diabetes,diabetes_poor_control",diabetes_impairs_wound_healing;HbA1c>7_higher_AL_risk,PMID:29323447; PMID:32776843
A2_02,hypertension,高血压; HTN,comorbidity,categorical,,no;yes,hypertension,HTN_marker_of_cardiovascular_risk,PMID:31274153; ACS NSQIP
A2_03,coronary_artery_disease,冠心病; CAD; CHD; coronary_heart_disease,comorbidity,categorical,,no;yes,cad,CAD_increases_anesthesia_and_surgical_risk,PMID:32706459; ACS NSQIP
A2_04,chronic_lung_disease,慢性肺病; COPD; CLD,comorbidity,categorical,,no;copd;asthma;other,chronic_lung_disease,pulmonary_comorbidity_increases_AL_and_SSI_risk,PMID:28946873; ACS NSQIP
